999 999 999 999 999 999 999 999 999 999 999 999 999
999 999 999 999 999 999 999 999 999 999 999 999 999
1												
0.03	1											
0.13	0.06	1										
0.32	-.03	0.17	1									
0.26	0.13	0.07	0.36	1								
0.14	0.03	0.06	0.36	0.22	1							
0.23	0.05	0.13	0.38	0.2	0.17	1						
0.39	0.02	0.18	0.4	0.31	0.29	0.22	1					
0.29	-.01	0.2	0.4	0.28	0.13	0.28	0.26	1				
0.29	0.03	0.19	0.48	0.31	0.24	0.41	0.38	0.43	1			
0.37	-.04	0.18	0.45	0.32	0.32	0.39	0.41	0.42	0.59	1		
0.28	-.10	0.12	0.45	0.25	0.63	0.31	0.4	0.3	0.4	0.52	1	
0.28	-.10	0.14	0.56	0.35	0.52	0.32	0.48	0.36	0.45	0.52	0.79	1
