0.81	1.14	0.73	7.8	6.24	0.79	15.86	0.07	2.39	0.75	0.74	0.79	12.15	67.87
1.14	1.25	0.13	6.39	7.67	0.18	3.46	0.04	2.03	0.22	0.2	0.2	4.15	18.24
1													
0.78	1												
0.23	0.24	1											
0.38	0.5	0.19	1										
0.2	0.26	0.09	0.28	1									
0.29	0.35	0.13	0.58	0.9	1								
0.12	0.26	0.19	0.15	0.24	0.24	1							
0.18	0.18	0.15	0.2	0.3	0.35	0.09	1						
0.13	0.15	0.15	0.24	0.39	0.42	0.31	0.17	1					
0.23	0.31	0.15	0.37	0.23	0.33	0.2	0.19	0.43	1				
0.3	0.41	0.12	0.48	0.34	0.47	0.28	0.17	0.18	0.22	1			
0.18	0.22	0.1	0.29	0.17	0.27	0.16	0.28	0.14	0.27	0.25	1		
0.45	0.59	0.19	0.44	0.09	0.22	0.19	0.13	0.19	0.4	0.4	0.26	1	
0.46	0.48	0.18	0.29	0.35	0.39	0.22	0.29	0.3	0.36	0.33	0.26	0.53	1
