15.5	546	210	0.63	0.7	0.99	1.16	0.78	166	32	46	0	0	43	0.89
10.8	250	160	0.14	0.26	0.13	0.16	0.29	60	12	12	1	1	6	0.13
1														
0.32	1													
0.23	0.32	1												
0.23	0.08	0.12	1											
0.22	0.19	0	0.15	1										
0.24	0.11	0.21	0.34	0.27	1									
0.15	0.17	0.11	0.12	0.26	0.22	1								
0.11	0.13	0.06	0.1	0.09	0.04	0.19	1							
0.07	0.09	-0.05	0.11	0.16	0.18	0.2	0.18	1						
0.26	0.13	0.18	0.09	0.19	0.14	0.15	-0.01	0.1	1					
0.08	0.1	-0.09	0.13	0.18	0.14	0.21	0.08	0.17	-0.02	1				
0.2	0.13	0.01	0.03	0.11	0.19	0.24	0.12	0.11	0.13	0.1	1			
0.2	-0.07	0.07	0.29	0.06	0.19	0.02	0.18	0.01	-0.08	0.12	0.02	1		
0.09	0.08	-0.04	0.41	0.28	0.34	0.16	0.13	0.2	0.16	0.04	0.17	0.13	1	
-0.03	-0.02	0.05	-0.09	-0.03	0.12	-0.08	-0.16	0.06	0.06	-0.18	-0.05	-0.09	-0.14	1
