10	10	10	10.1	10	10	10	10	10	10	10	10.1	10	10	10
3.1	2.9	3	3.1	3	3	3.1	3.1	3.1	3	3	3.1	3.1	3	3.1
1														
0.49	1													
0.45	0.48	1												
0.54	0.51	0.47	1											
0.45	0.74	0.5	0.51	1										
0.5	0.54	0.6	0.52	0.57	1									
0.41	0.35	0.4	0.39	0.34	0.37	1								
0.64	0.44	0.4	0.53	0.42	0.48	0.38	1							
0.44	0.64	0.43	0.49	0.73	0.57	0.34	0.43	1						
0.4	0.41	0.45	0.45	0.41	0.43	0.65	0.37	0.34	1					
0.42	0.45	0.69	0.45	0.48	0.56	0.37	0.41	0.43	0.38	1				
0.56	0.53	0.5	0.57	0.53	0.61	0.34	0.58	0.51	0.36	0.48	1			
0.44	0.71	0.48	0.49	0.74	0.55	0.32	0.43	0.66	0.39	0.47	0.53	1		
0.34	0.23	0.34	0.26	0.24	0.31	0.46	0.32	0.22	0.42	0.3	0.29	0.21	1	
0.49	0.44	0.39	0.42	0.39	0.37	0.41	0.48	0.41	0.38	0.37	0.41	0.4	0.33	1
