10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1															
0.68	1														
0.65	0.71	1													
0.59	0.6	0.56	1												
0.46	0.47	0.47	0.38	1											
0.48	0.51	0.48	0.4	0.6	1										
0.45	0.45	0.45	0.39	0.47	0.47	1									
0.46	0.49	0.48	0.38	0.47	0.5	0.47	1								
0.39	0.42	0.4	0.35	0.34	0.39	0.35	0.33	1							
0.54	0.53	0.55	0.46	0.46	0.46	0.45	0.5	0.37	1						
0.47	0.46	0.46	0.42	0.42	0.42	0.44	0.43	0.34	0.55	1					
0.39	0.38	0.36	0.36	0.35	0.36	0.38	0.35	0.3	0.43	0.51	1				
0.48	0.49	0.47	0.43	0.38	0.39	0.43	0.4	0.33	0.54	0.65	0.49	1			
0.23	0.21	0.2	0.24	0.31	0.2	0.24	0.19	0.19	0.31	0.28	0.25	0.29	1		
0.28	0.25	0.29	0.26	0.34	0.28	0.29	0.23	0.23	0.32	0.32	0.27	0.28	0.58	1	
0.11	0.1	0.13	0.14	0.19	0.13	0.13	0.11	0.11	0.15	0.11	0.09	0.11	0.3	0.33	1
